,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2021.0,Aruba,0.0,0.0,0.0,17000.0,0.0,6000.0,0.0,23000.0
2,AFG,2021.0,Afghanistan,66949.0,251.0,3457744.0,0.0,0.0,494710.0,82742.0,4102396.0
3,AGO,2021.0,Angola,26045.0,30279.0,0.0,0.0,0.0,0.0,199.0,56523.0
4,AIA,2021.0,Anguilla,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0
5,ALA,,,,,,,,,,
6,ALB,2021.0,Albania,109.0,6.0,0.0,0.0,1838.0,0.0,13.0,1966.0
7,AND,,,,,,,,,,
8,ARE,2021.0,United Arab Emirates,1355.0,7203.0,0.0,0.0,0.0,0.0,123.0,8681.0
9,ARG,2021.0,Argentina,4050.0,11026.0,0.0,164622.0,0.0,68880.0,448.0,249026.0
10,ARM,2021.0,Armenia,34728.0,181.0,0.0,0.0,870.0,0.0,0.0,35779.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,,,,,,,,,,
15,AUS,2021.0,Australia,55606.0,82810.0,0.0,0.0,7700.0,0.0,7526.0,153642.0
16,AUT,2021.0,Austria,152514.0,27847.0,0.0,0.0,3162.0,0.0,0.0,183523.0
17,AZE,2021.0,Azerbaijan,1676.0,34.0,654839.0,0.0,3585.0,0.0,0.0,660134.0
18,BDI,2021.0,Burundi,81491.0,4297.0,19176.0,0.0,0.0,0.0,2182.0,107146.0
19,BEL,2021.0,Belgium,74063.0,28955.0,0.0,0.0,1178.0,0.0,854.0,105050.0
20,BEN,2021.0,Benin,1736.0,506.0,0.0,0.0,0.0,0.0,0.0,2242.0
21,BFA,2021.0,Burkina Faso,25010.0,9413.0,1579976.0,0.0,0.0,0.0,0.0,1614399.0
22,BGD,2021.0,Bangladesh,918907.0,48.0,0.0,0.0,918841.0,174850.0,0.0,2012646.0
