,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2021.0,Aruba,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,6000.0
2,AFG,2021.0,Afghanistan,2712869.0,262860.0,3457744.0,0.0,0.0,494710.0,93827.0,7022010.0
3,AGO,2021.0,Angola,11403.0,12692.0,0.0,0.0,0.0,0.0,19792.0,43887.0
4,AIA,2021.0,Anguilla,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
5,ALA,,,,,,,,,,
6,ALB,2021.0,Albania,19847.0,22331.0,0.0,0.0,0.0,0.0,0.0,42178.0
7,AND,2021.0,Andorra,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
8,ARE,2021.0,United Arab Emirates,160.0,215.0,0.0,0.0,0.0,0.0,0.0,375.0
9,ARG,2021.0,Argentina,124.0,1774.0,0.0,0.0,0.0,0.0,5.0,1903.0
10,ARM,2021.0,Armenia,12255.0,9291.0,0.0,0.0,0.0,0.0,0.0,21546.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2021.0,Antigua and Barbuda,105.0,55.0,0.0,0.0,0.0,0.0,0.0,160.0
15,AUS,2021.0,Australia,16.0,21.0,0.0,0.0,0.0,0.0,0.0,37.0
16,AUT,2021.0,Austria,23.0,5.0,0.0,0.0,0.0,0.0,0.0,28.0
17,AZE,2021.0,Azerbaijan,39478.0,5235.0,654839.0,0.0,0.0,0.0,0.0,699552.0
18,BDI,2021.0,Burundi,323635.0,52171.0,19176.0,0.0,0.0,0.0,5156.0,400138.0
19,BEL,2021.0,Belgium,29.0,89.0,0.0,0.0,0.0,0.0,5.0,123.0
20,BEN,2021.0,Benin,730.0,1382.0,0.0,0.0,0.0,0.0,0.0,2112.0
21,BFA,2021.0,Burkina Faso,20209.0,5585.0,1579976.0,0.0,0.0,0.0,13079.0,1618849.0
22,BGD,2021.0,Bangladesh,22672.0,65495.0,0.0,0.0,0.0,174850.0,507.0,263524.0
23,BGR,2021.0,Bulgaria,455.0,340.0,0.0,0.0,0.0,0.0,5.0,800.0
24,BHR,2021.0,Bahrain,416.0,137.0,0.0,0.0,0.0,0.0,0.0,553.0
25,BHS,2021.0,Bahamas,736.0,658.0,0.0,0.0,0.0,0.0,0.0,1394.0
26,BIH,2021.0,Bosnia and Herzegovina,18189.0,1631.0,96305.0,0.0,0.0,0.0,181.0,116306.0
27,BLM,,,,,,,,,,
28,BLR,2021.0,Belarus,4632.0,6799.0,0.0,0.0,0.0,0.0,0.0,11431.0
29,BLZ,2021.0,Belize,81.0,369.0,0.0,0.0,0.0,0.0,0.0,450.0
30,BMU,,,,,,,,,,
31,BOL,2021.0,Bolivia (Plurinational State of),549.0,1830.0,0.0,0.0,0.0,0.0,0.0,2379.0
32,BRA,2021.0,Brazil,1954.0,26440.0,0.0,0.0,0.0,26596.0,0.0,54990.0
33,BRB,2021.0,Barbados,265.0,91.0,0.0,0.0,0.0,0.0,0.0,356.0
34,BRN,2021.0,Brunei Darussalam,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
35,BTN,2021.0,Bhutan,6702.0,487.0,0.0,0.0,0.0,0.0,0.0,7189.0
36,BWA,2021.0,Botswana,122.0,213.0,0.0,0.0,0.0,0.0,0.0,335.0
37,CAF,2021.0,Central African Rep.,737658.0,14283.0,691791.0,0.0,0.0,0.0,2284.0,1446016.0
38,CAN,2021.0,Canada,60.0,126.0,0.0,0.0,0.0,0.0,0.0,186.0
39,CHE,2021.0,Switzerland,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0
40,CHL,2021.0,Chile,987.0,9058.0,0.0,0.0,0.0,0.0,0.0,10045.0
41,CHN,2021.0,China,170222.0,118476.0,0.0,0.0,0.0,0.0,10.0,288708.0
42,CIV,2021.0,Cote d'Ivoire,39940.0,32608.0,0.0,0.0,0.0,0.0,152.0,72700.0
43,CMR,2021.0,Cameroon,125477.0,22151.0,933138.0,0.0,0.0,0.0,22.0,1080788.0
44,COD,2021.0,Dem. Rep. of the Congo,908401.0,148099.0,5407840.0,0.0,0.0,0.0,15343.0,6479683.0
45,COG,2021.0,Congo,14253.0,12795.0,134430.0,0.0,0.0,0.0,84.0,161562.0
46,COK,,,,,,,,,,
47,COL,2021.0,Colombia,115792.0,80705.0,6766002.0,0.0,0.0,741889.0,504338.0,8208726.0
48,COM,2021.0,Comoros,1670.0,1833.0,0.0,0.0,0.0,0.0,0.0,3503.0
49,CPV,2021.0,Cabo Verde,10.0,273.0,0.0,0.0,0.0,0.0,0.0,283.0
50,CRI,2021.0,Costa Rica,235.0,989.0,0.0,0.0,0.0,1863.0,0.0,3087.0
51,CUB,2021.0,Cuba,11534.0,71590.0,0.0,0.0,0.0,0.0,13664.0,96788.0
52,CUW,2021.0,Curacao ,35.0,0.0,0.0,0.0,0.0,5226.0,0.0,5261.0
53,CYM,2021.0,Cayman Islands,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
54,CYP,2021.0,Cyprus,5.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0
55,CZE,2021.0,Czechia,758.0,161.0,0.0,0.0,0.0,0.0,0.0,919.0
56,DEU,2021.0,Germany,59.0,248.0,0.0,0.0,0.0,0.0,0.0,307.0
57,DJI,2021.0,Djibouti,2607.0,994.0,0.0,0.0,0.0,1301.0,0.0,4902.0
58,DMA,2021.0,Dominica,54.0,124.0,0.0,0.0,0.0,0.0,0.0,178.0
59,DNK,2021.0,Denmark,8.0,25.0,0.0,0.0,0.0,0.0,0.0,33.0
60,DOM,2021.0,Dominican Rep.,635.0,4642.0,0.0,0.0,0.0,0.0,0.0,5277.0
61,DZA,2021.0,Algeria,6003.0,6871.0,0.0,0.0,0.0,0.0,33.0,12907.0
62,ECU,2021.0,Ecuador,1825.0,27286.0,0.0,0.0,0.0,0.0,0.0,29111.0
63,EGY,2021.0,Egypt,27498.0,21016.0,0.0,0.0,0.0,0.0,82.0,48596.0
64,ERI,2021.0,Eritrea,511911.0,77188.0,0.0,0.0,0.0,0.0,10538.0,599637.0
65,ESH,2021.0,Western Sahara,117041.0,689.0,0.0,0.0,0.0,0.0,5.0,117735.0
66,ESP,2021.0,Spain,55.0,423.0,0.0,0.0,0.0,0.0,0.0,478.0
67,EST,2021.0,Estonia,271.0,48.0,0.0,0.0,0.0,0.0,0.0,319.0
68,ETH,2021.0,Ethiopia,149130.0,139211.0,3646267.0,0.0,0.0,84953.0,3918.0,4023479.0
69,FIN,2021.0,Finland,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
70,FJI,2021.0,Fiji,414.0,2997.0,0.0,0.0,0.0,0.0,0.0,3411.0
71,FLK,,,,,,,,,,
72,FRA,2021.0,France,38.0,279.0,0.0,0.0,0.0,0.0,0.0,317.0
73,FRO,,,,,,,,,,
74,FSM,,,,,,,,,,
75,GAB,2021.0,Gabon,620.0,902.0,0.0,0.0,0.0,0.0,0.0,1522.0
76,GBR,2021.0,United Kingdom of Great Britain and Northern Ireland,101.0,277.0,0.0,0.0,0.0,0.0,0.0,378.0
77,GEO,2021.0,Georgia,9754.0,16648.0,290156.0,0.0,0.0,0.0,0.0,316558.0
78,GGY,,,,,,,,,,
79,GHA,2021.0,Ghana,14251.0,9177.0,0.0,0.0,0.0,0.0,17.0,23445.0
80,GIB,,,,,,,,,,
81,GIN,2021.0,Guinea,34403.0,26458.0,0.0,0.0,0.0,0.0,140.0,61001.0
82,GMB,2021.0,Gambia,11042.0,5731.0,0.0,0.0,0.0,0.0,59.0,16832.0
83,GNB,2021.0,Guinea-Bissau,2039.0,2546.0,0.0,0.0,0.0,0.0,0.0,4585.0
84,GNQ,2021.0,Equatorial Guinea,168.0,235.0,0.0,0.0,0.0,0.0,0.0,403.0
85,GRC,2021.0,Greece,87.0,171.0,0.0,0.0,0.0,0.0,0.0,258.0
86,GRD,2021.0,Grenada,52.0,97.0,0.0,0.0,0.0,0.0,0.0,149.0
87,GRL,,,,,,,,,,
88,GTM,2021.0,Guatemala,26927.0,160428.0,0.0,0.0,0.0,406161.0,149455.0,742971.0
89,GUM,,,,,,,,,,
90,GUY,2021.0,Guyana,285.0,856.0,0.0,0.0,0.0,5892.0,0.0,7033.0
91,HKG,2021.0,"China, Hong Kong SAR",96.0,816.0,0.0,0.0,0.0,0.0,0.0,912.0
92,HMD,,,,,,,,,,
93,HND,2021.0,Honduras,51687.0,169994.0,247090.0,0.0,0.0,0.0,48926.0,517697.0
94,HRV,2021.0,Croatia,18083.0,51.0,0.0,0.0,0.0,0.0,214.0,18348.0
95,HTI,2021.0,Haiti,29454.0,135565.0,0.0,0.0,0.0,0.0,19385.0,184404.0
