,ISO_A3,Total_Budget,Expenditure,Funded,Year,Displaced,$ Per Displaced Person
0,-99,,,,,,
1,ABW,,,,2022.0,18700.0,
2,AFG,340345679.0,219008335.0,64.35,2022.0,4273733.0,51.24520764399648
3,AGO,29889167.0,,,2022.0,55981.0,
4,AIA,,,,2022.0,39.0,
5,ALA,,,,,,
6,ALB,3500000.0,,,2022.0,4639.0,
7,AND,,,,,,
8,ARE,,,,2022.0,8630.0,
9,ARG,49164002.0,,,2022.0,262467.0,
10,ARM,12691261.0,,,2022.0,35886.0,
11,ASM,,,,,,
12,ATA,,,,,,
13,ATF,,,,,,
14,ATG,,,,2022.0,169.0,
15,AUS,4642129.0,,,2022.0,155792.0,
16,AUT,,,,2022.0,314956.0,
17,AZE,7202477.0,,,2022.0,668944.0,
18,BDI,80539135.0,32394536.0,40.22,2022.0,99251.0,326.3900212592317
19,BEL,11080879.0,,,2022.0,195883.0,
20,BEN,,,,2022.0,3239.0,
21,BFA,109882560.0,46098885.0,41.95,2022.0,1917317.0,24.043434132175328
22,BGD,285027476.0,139951274.0,49.1,2022.0,2079567.0,67.29827603534774
23,BGR,1943238.0,,,2022.0,188624.0,
24,BHR,,,,2022.0,377.0,
25,BHS,,,,2022.0,764.0,
26,BIH,10281924.0,,,2022.0,97961.0,
27,BLM,,,,,,
28,BLR,,,,2022.0,25965.0,
29,BLZ,,,,2022.0,11579.0,
30,BMU,,,,,,
31,BOL,,,,2022.0,20188.0,
32,BRA,52473361.0,20587400.0,39.23,2022.0,538331.0,38.243014056407674
33,BRB,,,,,,
34,BRN,,,,2022.0,20863.0,
35,BTN,,,,,,
36,BWA,,,,2022.0,900.0,
37,CAF,80000000.0,,,2022.0,527348.0,
38,CAN,2743877.0,,,2022.0,258489.0,
39,CHE,,,,2022.0,198404.0,
40,CHL,,,,2022.0,536796.0,
41,CHN,4465086.0,,,2022.0,1105.0,
42,CIV,22995029.0,17751480.0,77.2,2022.0,937027.0,18.94447011665619
43,CMR,153656819.0,46174962.0,30.05,2022.0,1473294.0,31.34130865937145
44,COD,225420986.0,106994283.0,47.46,2022.0,6063761.0,17.64487139252355
45,COG,37405549.0,9715572.0,25.97,2022.0,97074.0,100.08418320044503
46,COK,,,,,,
47,COL,122071445.0,57471379.0,47.08,2022.0,10937528.0,5.254512628447671
48,COM,,,,2022.0,17.0,
49,CPV,,,,2022.0,115.0,
50,CRI,33902019.0,14752697.0,43.52,2022.0,273657.0,53.90944503520831
51,CUB,,,,2022.0,182.0,
52,CUW,,,,2022.0,15700.0,
53,CYM,,,,2022.0,511.0,
54,CYP,2887063.0,,,2022.0,65853.0,
55,CZE,,,,2022.0,438292.0,
56,DEU,2537075.0,,,2022.0,2365919.0,
57,DJI,18242297.0,,,2022.0,30197.0,
58,DMA,,,,,,
59,DNK,,,,2022.0,82112.0,
60,DOM,,,,2022.0,116443.0,
61,DZA,44871698.0,21017903.0,46.84,2022.0,102753.0,204.54782828725195
62,ECU,76108305.0,26186000.0,34.41,2022.0,565183.0,46.3318960407514
63,EGY,125989648.0,44916912.0,35.65,2022.0,358523.0,125.28320916649699
64,ERI,6211742.0,,,2022.0,136.0,
65,ESH,,,,,,
66,ESP,5394207.0,,,2022.0,466031.0,
67,EST,,,,2022.0,109548.0,
68,ETH,335264806.0,177202317.0,52.85,2022.0,4208422.0,42.10659411057161
69,FIN,,,,2022.0,79009.0,
70,FJI,,,,2022.0,18.0,
